abbreviation,full
API,Application Programming Interface
BEAR,Benchmark of RDF Archives
C-SPARQL,Continuous SPARQL
CB,Change-based
CM,Change Materialization
CQELS,Continuous Query Evaluation over Linked Stream
CPU,Central Processing Unit
CSV,Comma Separated Values
CV,Cross-version Join
CVS,Concurrent Versions System
DM,Delta Materialization
DSMS,Data Stream Management System
GTFS,General Transit Feed Specification
HDT-FoQ,HDT Focus on Querying
HDT,Header Dictionary Triples
HOBBIT,Holistic Benchmarking of Big Linked Data
HTTP,Hypertext Transfer Protocol
IC,Independent Copies
IRI,Internationalized Resource Identifier
LUBM,Lehigh University Benchmark
OSTRICH,Offset-Enabled Triple Store for Changesets
PoDiGG,POpulation DIstribution-based GTFS Generator
RAM,Random Access Memory
RDF,Resource Description Framework
SPARQL,SPARQL Protocol and RDF Query Language
TB,Timestamp-based
TPF,Triple Pattern Fragments
VM,Version Materialization
VTPF,Versioned Triple Pattern Fragments
VQ,Version Query
