name;comunica_time;ldf_time;sort_time;comunica_results;ldf_results;sort_results
C1;16316;12639;17120;16;16;16
F1;1378;1694;1454;3;3;3
F2;2460;2531;2261;7;7;7
F3;3267;2676;2999;29;29;29
F4;3494;4397;3244;22;22;22
F5;1237;1238;1192;42;42;42
L1;190;518;188;5;5;5
L2;1396;1702;1331;18;18;18
L3;109;385;107;36;36;36
L4;1635;1997;1654;53;53;53
L5;4399;4072;4116;80;80;80
S1;793;681;709;1502;10;10
S2;7475;5343;6909;76;76;76
S3;4468;3710;4058;0;0;0
S4;3126;2571;3046;3;3;3
S5;4789;4062;4757;0;0;0
S6;186;663;185;2;2;2
S7;16;245;7;0;0;0

